Added 6331; Current median 6331; running total 6331
Added 8918; Current median 4292; running total 7721
Added 6116; Current median 4292; running total 2013
Added 4358; Current median 4308; running total 6321
Added 8599; Current median 4308; running total 629
Added 5035; Current median 4312; running total 4941
Added 2837; Current median 4308; running total 9249
Added 6935; Current median 4312; running total 3561
Added 7118; Current median 4312; running total 7873
Added 2538; Current median 4312; running total 2185
Added 2048; Current median 4308; running total 6493
Added 9253; Current median 4312; running total 805
Added 6527; Current median 4312; running total 5117
Added 2184; Current median 4312; running total 9429
Added 8686; Current median 4312; running total 3741
Added 3801; Current median 4312; running total 8053
Added 1632; Current median 4308; running total 2361
Added 5570; Current median 4312; running total 6673
Added 6108; Current median 4312; running total 985
Added 1619; Current median 4312; running total 5297
Added 4729; Current median 4312; running total 9609
Added 818; Current median 4312; running total 3921
Added 5826; Current median 4312; running total 8233
Added 3182; Current median 4312; running total 2545
Added 7875; Current median 4312; running total 6857
Added 862; Current median 4312; running total 1169
Added 3971; Current median 4308; running total 5477
Added 9230; Current median 4312; running total 9789
Added 4995; Current median 4312; running total 4101
Added 3419; Current median 4312; running total 8413
Added 6087; Current median 4312; running total 2725
Added 6852; Current median 4315; running total 7040
Added 3461; Current median 4312; running total 1352
Added 314; Current median 4312; running total 5664
Added 2008; Current median 4308; running total 9972
Added 5077; Current median 4312; running total 4284
Added 4437; Current median 4312; running total 8596
Added 3403; Current median 4312; running total 2908
Added 1999; Current median 4308; running total 7216
Added 3651; Current median 4308; running total 1524
Added 4319; Current median 4308; running total 5832
Added 9876; Current median 4312; running total 144
Added 1543; Current median 4308; running total 4452
Added 7024; Current median 4312; running total 8764
Added 3416; Current median 4308; running total 3072
Added 9835; Current median 4312; running total 7384
Added 3545; Current median 4308; running total 1692
Added 3269; Current median 4308; running total 6000
Added 3089; Current median 4292; running total 292
Added 1912; Current median 4292; running total 4584
Added 2717; Current median 4289; running total 8873
Added 7442; Current median 4292; running total 3165
Added 2635; Current median 4289; running total 7454
Added 842; Current median 4289; running total 1743
Added 3595; Current median 4277; running total 6020
Added 139; Current median 4277; running total 297
Added 2812; Current median 4275; running total 4572
Added 5470; Current median 4277; running total 8849
Added 482; Current median 4275; running total 3124
Added 2987; Current median 4275; running total 7399
Added 6789; Current median 4275; running total 1674
Added 4946; Current median 4277; running total 5951
Added 5433; Current median 4277; running total 228
Added 4945; Current median 4289; running total 4517
Added 4621; Current median 4289; running total 8806
Added 537; Current median 4289; running total 3095
Added 5359; Current median 4289; running total 7384
Added 587; Current median 4289; running total 1673
Added 2178; Current median 4277; running total 5950
Added 7212; Current median 4289; running total 239
Added 5282; Current median 4289; running total 4528
Added 256; Current median 4289; running total 8817
Added 3772; Current median 4277; running total 3094
Added 8324; Current median 4289; running total 7383
Added 7609; Current median 4289; running total 1672
Added 5143; Current median 4292; running total 5964
Added 5661; Current median 4292; running total 256
Added 3090; Current median 4292; running total 4548
Added 3077; Current median 4289; running total 8837
Added 7244; Current median 4292; running total 3129
Added 689; Current median 4289; running total 7418
Added 7760; Current median 4292; running total 1710
Added 7088; Current median 4292; running total 6002
Added 9991; Current median 4308; running total 310
Added 3698; Current median 4292; running total 4602
Added 1770; Current median 4292; running total 8894
Added 3506; Current median 4289; running total 3183
Added 6001; Current median 4292; running total 7475
Added 2606; Current median 4289; running total 1764
Added 3837; Current median 4289; running total 6053
Added 1236; Current median 4277; running total 330
Added 2918; Current median 4277; running total 4607
Added 8832; Current median 4277; running total 8884
Added 2722; Current median 4277; running total 3161
Added 2660; Current median 4275; running total 7436
Added 1349; Current median 4275; running total 1711
Added 779; Current median 4273; running total 5984
Added 4281; Current median 4275; running total 259
Added 2018; Current median 4273; running total 4532
Added 4524; Current median 4275; running total 8807
Added 3104; Current median 4273; running total 3080
Added 6348; Current median 4275; running total 7355
Added 9870; Current median 4275; running total 1630
Added 3170; Current median 4275; running total 5905
Added 4675; Current median 4275; running total 180
Added 6297; Current median 4277; running total 4457
Added 1714; Current median 4275; running total 8732
Added 797; Current median 4275; running total 3007
Added 9625; Current median 4275; running total 7282
Added 8048; Current median 4277; running total 1559
Added 8132; Current median 4277; running total 5836
Added 1167; Current median 4277; running total 113
Added 8778; Current median 4277; running total 4390
Added 3608; Current median 4277; running total 8667
Added 3468; Current median 4275; running total 2942
Added 2690; Current median 4275; running total 7217
Added 1284; Current median 4273; running total 1490
Added 5285; Current median 4275; running total 5765
Added 6266; Current median 4275; running total 40
Added 6515; Current median 4277; running total 4317
Added 9133; Current median 4277; running total 8594
Added 1411; Current median 4277; running total 2871
Added 2615; Current median 4275; running total 7146
Added 3840; Current median 4275; running total 1421
Added 515; Current median 4273; running total 5694
Added 6775; Current median 4275; running total 9969
Added 2294; Current median 4273; running total 4242
